19700101 08:29:02.467132 44649 INFO  Socket listening with backlog=4096 - tcp/Socket.cpp:62
19700101 08:29:02.467136 44649 INFO  New connection established - http/HttpServer.cpp:45
19700101 08:29:02.467136 44649 INFO  HttpContext created successfully - http/HttpServer.cpp:49
19700101 08:29:02.467136 44649 INFO  Accept queue empty, waiting for new connections - tcp/Acceptor.cpp:52
19700101 08:29:02.467136 44658 INFO  Connection closed by peer - tcp/Connection.cpp:190
19700101 08:29:02.467137 44649 INFO  New connection established - http/HttpServer.cpp:45
19700101 08:29:02.467137 44649 INFO  HttpContext created successfully - http/HttpServer.cpp:49
19700101 08:29:02.467137 44649 INFO  New connection established - http/HttpServer.cpp:45
19700101 08:29:02.467137 44649 INFO  HttpContext created successfully - http/HttpServer.cpp:49
19700101 08:29:02.467137 44649 INFO  New connection established - http/HttpServer.cpp:45
19700101 08:29:02.467137 44649 INFO  HttpContext created successfully - http/HttpServer.cpp:49
19700101 08:29:02.467137 44649 INFO  New connection established - http/HttpServer.cpp:45
19700101 08:29:02.467137 44649 INFO  HttpContext created successfully - http/HttpServer.cpp:49
19700101 08:29:02.467137 44649 INFO  New connection established - http/HttpServer.cpp:45
19700101 08:29:02.467137 44649 INFO  HttpContext created successfully - http/HttpServer.cpp:49
19700101 08:29:02.467137 44649 INFO  New connection established - http/HttpServer.cpp:45
19700101 08:29:02.467137 44649 INFO  HttpContext created successfully - http/HttpServer.cpp:49
19700101 08:29:02.467137 44649 INFO  New connection established - http/HttpServer.cpp:45
19700101 08:29:02.467137 44649 INFO  HttpContext created successfully - http/HttpServer.cpp:49
19700101 08:29:02.467137 44649 INFO  New connection established - http/HttpServer.cpp:45
19700101 08:29:02.467137 44649 INFO  HttpContext created successfully - http/HttpServer.cpp:49
19700101 08:29:02.467137 44649 INFO  New connection established - http/HttpServer.cpp:45
19700101 08:29:02.467137 44649 INFO  HttpContext created successfully - http/HttpServer.cpp:49
19700101 08:29:02.467137 44657 INFO  Read 66 bytes from fd 26 - tcp/Connection.cpp:185
19700101 08:29:02.467137 44657 INFO  Received message from 172.21.211.240:46466, size=66 - http/HttpServer.cpp:64
19700101 08:29:02.467137 44657 INFO  Got complete request, path=/ - http/HttpServer.cpp:93
19700101 08:29:02.467137 44657 INFO  Handling request for path: / - HTTP.cpp:12
19700101 08:29:02.467137 44657 INFO  Full filepath: ./index.html - HTTP.cpp:20
19700101 08:29:02.467137 44657 INFO  File found, size=1616 - HTTP.cpp:33
19700101 08:29:02.467137 44657 INFO  Sending response, size=1704 - http/HttpServer.cpp:134
19700101 08:29:02.467137 44657 INFO  Response content: 
 - http/HttpServer.cpp:135
19700101 08:29:02.467137 44657 INFO  172.21.211.240:46466 write complete - http/HttpServer.cpp:150
19700101 08:29:02.467137 44657 INFO  Closing connection after response - http/HttpServer.cpp:142
19700101 08:29:02.467137 44657 INFO  Read 66 bytes from fd 30 - tcp/Connection.cpp:185
19700101 08:29:02.467137 44657 INFO  Received message from 172.21.211.240:46488, size=66 - http/HttpServer.cpp:64
19700101 08:29:02.467137 44657 INFO  Got complete request, path=/ - http/HttpServer.cpp:93
19700101 08:29:02.467137 44657 INFO  Handling request for path: / - HTTP.cpp:12
19700101 08:29:02.467137 44657 INFO  Full filepath: ./index.html - HTTP.cpp:20
19700101 08:29:02.467137 44657 INFO  File found, size=1616 - HTTP.cpp:33
19700101 08:29:02.467137 44657 INFO  Sending response, size=1704 - http/HttpServer.cpp:134
19700101 08:29:02.467137 44657 INFO  Response content: 
 - http/HttpServer.cpp:135
19700101 08:29:02.467137 44657 INFO  172.21.211.240:46488 write complete - http/HttpServer.cpp:150
19700101 08:29:02.467137 44657 INFO  Closing connection after response - http/HttpServer.cpp:142
19700101 08:29:02.467137 44656 INFO  Read 66 bytes from fd 27 - tcp/Connection.cpp:185
19700101 08:29:02.467137 44656 INFO  Received message from 172.21.211.240:46476, size=66 - http/HttpServer.cpp:64
19700101 08:29:02.467137 44656 INFO  Got complete request, path=/ - http/HttpServer.cpp:93
19700101 08:29:02.467137 44656 INFO  Handling request for path: / - HTTP.cpp:12
19700101 08:29:02.467137 44656 INFO  Full filepath: ./index.html - HTTP.cpp:20
19700101 08:29:02.467137 44659 INFO  Read 66 bytes from fd 24 - tcp/Connection.cpp:185
19700101 08:29:02.467137 44659 INFO  Received message from 172.21.211.240:46448, size=66 - http/HttpServer.cpp:64
19700101 08:29:02.467137 44659 INFO  Got complete request, path=/ - http/HttpServer.cpp:93
19700101 08:29:02.467137 44659 INFO  Handling request for path: / - HTTP.cpp:12
19700101 08:29:02.467137 44659 INFO  Full filepath: ./index.html - HTTP.cpp:20
19700101 08:29:02.467137 44659 INFO  File found, size=1616 - HTTP.cpp:33
19700101 08:29:02.467137 44659 INFO  Sending response, size=1704 - http/HttpServer.cpp:134
19700101 08:29:02.467137 44659 INFO  Response content: 
 - http/HttpServer.cpp:135
19700101 08:29:02.467137 44656 INFO  File found, size=1616 - HTTP.cpp:33
19700101 08:29:02.467137 44656 INFO  Sending response, size=1704 - http/HttpServer.cpp:134
19700101 08:29:02.467137 44656 INFO  Response content: 
 - http/HttpServer.cpp:135
19700101 08:29:02.467137 44649 INFO  New connection established - http/HttpServer.cpp:45
19700101 08:29:02.467137 44649 INFO  HttpContext created successfully - http/HttpServer.cpp:49
19700101 08:29:02.467137 44649 INFO  New connection established - http/HttpServer.cpp:45
19700101 08:29:02.467137 44649 INFO  HttpContext created successfully - http/HttpServer.cpp:49
19700101 08:29:02.467137 44649 INFO  New connection established - http/HttpServer.cpp:45
19700101 08:29:02.467137 44649 INFO  HttpContext created successfully - http/HttpServer.cpp:49
19700101 08:29:02.467137 44649 INFO  New connection established - http/HttpServer.cpp:45
19700101 08:29:02.467137 44649 INFO  HttpContext created successfully - http/HttpServer.cpp:49
19700101 08:29:02.467137 44649 INFO  New connection established - http/HttpServer.cpp:45
19700101 08:29:02.467137 44649 INFO  HttpContext created successfully - http/HttpServer.cpp:49
19700101 08:29:02.467137 44649 INFO  New connection established - http/HttpServer.cpp:45
19700101 08:29:02.467137 44649 INFO  HttpContext created successfully - http/HttpServer.cpp:49
19700101 08:29:02.467137 44649 INFO  New connection established - http/HttpServer.cpp:45
19700101 08:29:02.467137 44649 INFO  HttpContext created successfully - http/HttpServer.cpp:49
19700101 08:29:02.467137 44649 INFO  New connection established - http/HttpServer.cpp:45
19700101 08:29:02.467137 44649 INFO  HttpContext created successfully - http/HttpServer.cpp:49
19700101 08:29:02.467137 44649 INFO  New connection established - http/HttpServer.cpp:45
19700101 08:29:02.467137 44649 INFO  HttpContext created successfully - http/HttpServer.cpp:49
19700101 08:29:02.467137 44649 INFO  New connection established - http/HttpServer.cpp:45
19700101 08:29:02.467137 44649 INFO  HttpContext created successfully - http/HttpServer.cpp:49
19700101 08:29:02.467137 44649 INFO  New connection established - http/HttpServer.cpp:45
19700101 08:29:02.467137 44649 INFO  HttpContext created successfully - http/HttpServer.cpp:49
19700101 08:29:02.467137 44649 INFO  New connection established - http/HttpServer.cpp:45
19700101 08:29:02.467137 44649 INFO  HttpContext created successfully - http/HttpServer.cpp:49
19700101 08:29:02.467137 44649 INFO  New connection established - http/HttpServer.cpp:45
19700101 08:29:02.467137 44649 INFO  HttpContext created successfully - http/HttpServer.cpp:49
19700101 08:29:02.467137 44649 INFO  New connection established - http/HttpServer.cpp:45
19700101 08:29:02.467137 44649 INFO  HttpContext created successfully - http/HttpServer.cpp:49
19700101 08:29:02.467137 44649 INFO  New connection established - http/HttpServer.cpp:45
19700101 08:29:02.467137 44649 INFO  HttpContext created successfully - http/HttpServer.cpp:49
19700101 08:29:02.467137 44649 INFO  New connection established - http/HttpServer.cpp:45
19700101 08:29:02.467137 44649 INFO  HttpContext created successfully - http/HttpServer.cpp:49
19700101 08:29:02.467137 44649 INFO  New connection established - http/HttpServer.cpp:45
19700101 08:29:02.467137 44649 INFO  HttpContext created successfully - http/HttpServer.cpp:49
19700101 08:29:02.467137 44649 INFO  New connection established - http/HttpServer.cpp:45
19700101 08:29:02.467137 44649 INFO  HttpContext created successfully - http/HttpServer.cpp:49
19700101 08:29:02.467137 44649 INFO  New connection established - http/HttpServer.cpp:45
19700101 08:29:02.467137 44649 INFO  HttpContext created successfully - http/HttpServer.cpp:49
19700101 08:29:02.467137 44649 INFO  New connection established - http/HttpServer.cpp:45
19700101 08:29:02.467137 44649 INFO  HttpContext created successfully - http/HttpServer.cpp:49
19700101 08:29:02.467137 44649 INFO  New connection established - http/HttpServer.cpp:45
19700101 08:29:02.467137 44649 INFO  HttpContext created successfully - http/HttpServer.cpp:49
